fecha_desde,fecha_hasta,lugar,categoria,precio,fuente_pdf
01/7/2024,05/7/2024,CHEPO,NOVILLO CRUZADO DE LECHE,2.39,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,NOVILLO DE CARNE,2.46,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,TERNERA CRUZADA DE LECHE,2.08,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,TERNERA DE CARNE,2.45,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,TERNERO CRUZADO DE LECHE,2.4,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,TORO CRUZADO DE LECHE,2.3,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,VACA CRUZADA DE LECHE,2.04,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,VACA CRUZADA DE LECHE PARA CEBA,1.8,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,VACA DE CARNE,2.15,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,VACA DE CARNE PARA CEBA,2.08,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,MEDIA CEBA CRUZADO DE LECHE,2.35,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,MEDIA CEBA DE CARNE,2.72,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,NOVILLA CRUZADA DE LECHE,2.16,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,NOVILLA DE CARNE,2.22,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,NOVILLO CRUZADO DE LECHE,2.24,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,NOVILLO DE CARNE,2.36,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,TERNERA CRUZADA DE LECHE,2.23,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,TERNERA DE CARNE,2.24,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,TERNERO CRUZADO DE LECHE,2.55,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,TORO CRUZADO DE LECHE,2.25,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,VACA CRUZADA DE LECHE,1.98,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,VACA CRUZADA DE LECHE PARA CEBA,1.43,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,VACA DE CARNE,2.11,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,COCLE,VACA DE CARNE PARA CEBA,1.86,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,MEDIA CEBA CRUZADO DE LECHE,2.62,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,MEDIA CEBA DE CARNE,2.65,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,NOVILLA CRUZADA DE LECHE,2.15,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,NOVILLA DE CARNE,2.2,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,NOVILLO CRUZADO DE LECHE,2.48,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,NOVILLO DE CARNE,2.5,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,TERNERA CRUZADA DE LECHE,2.54,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,TERNERA DE CARNE,2.57,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,TERNERO CRUZADO DE LECHE,2.54,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,TORO CRUZADO DE LECHE,2.43,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,VACA CRUZADA DE LECHE,2.06,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,DARIEN,VACA CRUZADA DE LECHE PARA CEBA,1.66,del-01-7-24-al-05-7-24.pdf
